name,path,anger_ra1,anger_ra2,caseid,enthusiasm_ra1,enthusiasm_ra2,fear_ra1,fear_ra2,immigrants_ra1,immigrants_ra2,legal,open ended response,pid_rep,treat,txtorg_id
,,0,0,325,0,0,1,1,0,0,0,"crime
taxes",0.66667002,1. worried,2756f590-757f-11e2-ad47-88532e617cea
,,1,1,72,0,0,0,1,0,0,0,how some of the illegal immigrants get more help from the government than the u.s. citizens who are paying taxes.,0.16666999,1. worried,27571836-757f-11e2-ad47-88532e617cea
,,1,1,269,0,0,2,2,0,0,1,"expenses to our country for health care, education, crime, language changes;  these are people most of whom are entering the united states illegally",1,1. worried,275747a2-757f-11e2-ad47-88532e617cea
,,1,1,206,0,0,1,1,0,0,0,"too many people, not enough jobs.  people that don't speak english.",0.833,0. think,27578ac8-757f-11e2-ad47-88532e617cea
,,0,0,290,1,1,0,0,0,2,0,a bible verse (send me your weak and hungry) and a one way door,0.66667002,0. think,2757e658-757f-11e2-ad47-88532e617cea
,,0,0,460,2,1,0,0,0,1,0,my ancestors came over as immigrants looking for a better life for their family--today's immigrants are doing the same.  there must be a solution that works for everyone.,0,0. think,27584760-757f-11e2-ad47-88532e617cea
,,1,1,222,0,0,2,1,0,0,0,"illegals will take jobs, healthcare, and other benefits from legal citizens.",1,1. worried,27589c10-757f-11e2-ad47-88532e617cea
,,0,1,295,0,0,1,1,0,0,0,"i feel like the united states is a giant bowl of a little bit of everything. ""americans"" are becoming a minority in our own country.",0.333,1. worried,2758d194-757f-11e2-ad47-88532e617cea
,,0,0,112,1,1,0,0,0,0,0,we need to allow immigration. people from foreign countries will do the jobs we arent willing to do.,0.333,1. worried,275905ec-757f-11e2-ad47-88532e617cea
,,0,0,54,0,0,1,1,0,0,0,an overwhelming amount of immigrants in our country and the new laws or bills tryin to cut down on the amount of immigrants.,0.333,0. think,275935e4-757f-11e2-ad47-88532e617cea
,,0,0,414,0,0,2,2,0,0,0,"violence, drugs, jobs lost",0.833,1. worried,27596d48-757f-11e2-ad47-88532e617cea
,,0,1,5,0,0,1,1,0,0,0,"poor people
taking jobs",0.333,0. think,275997e6-757f-11e2-ad47-88532e617cea
,,0,0,84,0,0,1,1,0,0,0,undocumented immigration and how it affects our economy.,0,1. worried,2759d3a0-757f-11e2-ad47-88532e617cea
,,1,0,250,0,0,2,2,0,1,0,"robbing americans of their social security; rising costs of social programs to cover illegals; rising costs of incarceration due to illegals; not being able to understand what they are saying (spanish and other languages); the fact that illegal immigrants are here with their children who go through our school systems then cannot get financial aid for college because their parents never filed for naturalization leaving the kids to work dead end jobs and never get naturalized; the fact that they are doing the work that americans don't want to do anyway, and then the americans complain about it; border walls; increasing amounts of drugs in america because it is so easy to get into our country",0,0. think,275a1c8e-757f-11e2-ad47-88532e617cea
,,0,1,270,0,0,2,2,0,1,0,"too many people, not enough social service support, crowded prisons, gangs taking over the cities, unemployment, abuse of immigrants, terrorism",0.333,1. worried,275b0630-757f-11e2-ad47-88532e617cea
,,0,0,221,0,0,1,1,0,0,0,i think of all the jobs americans will lose and the welfare will increase,0.333,1. worried,275b6c06-757f-11e2-ad47-88532e617cea
,,0,0,327,0,0,1,1,0,2,0,"i worry about the strife that is being stirred up among the american people. how can building a giant fence between the usa and mexico possibly help the usa in any way. it is a tremendous waste of resources that could be used for developing alternative energy sources, providing health care or decreasing the increase in the national debt.",0,1. worried,275bc1ba-757f-11e2-ad47-88532e617cea
,,0,0,115,1,1,0,0,0,0,0,"people coming to the us looking for work
people looking to do the jobs that us citizens will not do",0.16666999,0. think,275c5134-757f-11e2-ad47-88532e617cea
,,2,2,42,0,0,1,1,0,0,0,"we are letting too many immigrants into the country.
too many immigrants insist on speaking their native language and do not learn english. that is a real problem in our schools and business.
i do not believe immigrants should get social security....unless they work and pay into it.  
immigrants should not be able to get all the freebies that they are getting.",0.333,1. worried,275c9518-757f-11e2-ad47-88532e617cea
,,0,1,264,1,1,1,0,1,2,0,"illegal immigrants, people complaining about them getting govt. benefits, talk about building a wall on the mexico border. poor people who do the jobs that most of us wouldn't take anyway. if i lived somewhere else, facing poverty, i would want to come here to build a better life too.",0.333,0. think,275cfd3c-757f-11e2-ad47-88532e617cea
,,0,1,193,0,0,2,2,0,0,0,"crime
lost jobs
benefits paid to illegals
health care and food....we cannot feed the world when we have americans starving, etc",0.16666999,1. worried,275d51ce-757f-11e2-ad47-88532e617cea
,,0,0,89,0,0,0,0,0,0,0,illeagal,0.333,0. think,275d9dfa-757f-11e2-ad47-88532e617cea
,,1,1,356,0,0,1,1,0,0,0,that the illegals are recieving all of our benefits,0,1. worried,275dd16c-757f-11e2-ad47-88532e617cea
,,0,0,79,1,0,0,0,0,0,0,i am fine with immigration.,1,0. think,275e6bae-757f-11e2-ad47-88532e617cea
,,2,1,429,0,0,1,2,0,0,0,"the jobs, welfare, and community resources we as tax payers pay with our hard earned sweat to give it to someone who comes here just to send money back home. i don't think so!",0.16666999,1. worried,275e9f34-757f-11e2-ad47-88532e617cea
,,0,1,167,0,0,1,1,0,0,0,mexican people. illegal border crossing. us finincal assistance to imigerants.,0.66667002,0. think,275eeb38-757f-11e2-ad47-88532e617cea
,,0,0,444,0,0,1,1,0,0,0,"drain on us social services and medical service.
increased crime rates",0.5,1. worried,275f1b3a-757f-11e2-ad47-88532e617cea
,,0,0,32,0,0,0,0,0,0,0,"illegal
mexicans",0.16666999,0. think,275f3de0-757f-11e2-ad47-88532e617cea
,,1,1,316,0,0,2,1,0,0,0,too many illegal immigrates coming into our country will take our work for less pay and the language barrier.,1,1. worried,275f5d20-757f-11e2-ad47-88532e617cea
,,1,1,397,0,0,1,1,0,0,1,i'm worried that people are coming to amercia against the law. they are not doing it the right way. they steal social security numbers of people who are citizens so they can work etc,0.333,1. worried,275f8372-757f-11e2-ad47-88532e617cea
,,0,0,360,0,0,0,0,0,0,0,why their country is so poor,0.66667002,0. think,275fae42-757f-11e2-ad47-88532e617cea
,,0,0,35,0,0,1,1,0,0,0,we need to protect our borders more. not enough agents covering too much distance.,0.16666999,0. think,275fcd50-757f-11e2-ad47-88532e617cea
,,1,1,61,0,0,1,1,0,0,0,illegal immigrants using services paid for by legimate taxpayers.,1,1. worried,275ff2a8-757f-11e2-ad47-88532e617cea
,,0,0,46,0,0,0,0,0,0,0,not much worries me about immigration. i think people are making way too big of a deal about it.,0.333,1. worried,27601c74-757f-11e2-ad47-88532e617cea
,,0,0,88,0,0,0,0,0,0,0,the people against immigration,0.333,0. think,27604172-757f-11e2-ad47-88532e617cea
,,0,1,235,0,0,0,1,0,0,0,that we let people break the law b/c we just don't want to take the time to inforce it.,0.66667002,1. worried,27605dd8-757f-11e2-ad47-88532e617cea
,,2,2,56,0,0,2,0,0,0,0,"criminals stealing our jobs, our money, our belongings. people who don't speak english in our public schools. babies being born into this country and becoming citizens on a daily basis. free health care. pigs and slobs on the jobsite. you asked the wrong person, i work in construction and could go on for days about these thieves.",0.833,0. think,276081a0-757f-11e2-ad47-88532e617cea
,,0,0,92,0,0,0,0,0,0,0,illegal immigrants.,0.16666999,0. think,2760b4e0-757f-11e2-ad47-88532e617cea
,,1,1,158,0,0,2,2,0,0,0,"1. not being able to document them so we have a record for crime, taxes and terrorism
2.  that they are recieving money that i pay taxes to provide and they dont pay any of it
3.  they recieve many services from the states they are in that again they dont  pay towards and many people that are legally here are not getting because their isn't enough to go around.
4 that our country is bending and stretching toaccomidate their cultures",0.16666999,1. worried,2760d146-757f-11e2-ad47-88532e617cea
,,1,1,365,0,0,0,0,0,0,0,we need to seal the borders. both north and south. fine all the employers that hire illegals and also those who rent to them.  if they can't find an job nor a place to live they will go home.,1,0. think,27610792-757f-11e2-ad47-88532e617cea
,,0,1,275,0,0,1,1,0,0,0,"illegal people in our country
illegal people taking our jobs",0.333,0. think,27613096-757f-11e2-ad47-88532e617cea
,,1,1,280,0,0,2,2,0,0,0,"free welfare without paying into the tax base, spread of third-world disease, 1/3 of all criminals in our prison syst. are illegal aliens, refusal to assimilate and learn the language, virtual abolition of our borders, and therefore, our sovereignty",0.66667002,1. worried,27614e14-757f-11e2-ad47-88532e617cea
,,0,1,17,0,0,2,2,0,0,0,"job losses, threat of terrorism, property value decreasing, drug trafficing, becoming citizens and going on welfare",0,1. worried,27617362-757f-11e2-ad47-88532e617cea
,,0,0,12,0,0,2,2,0,0,0,"social security
crime
welfare
healthcare
educating immigrants",1,1. worried,2761920c-757f-11e2-ad47-88532e617cea
,,0,1,387,0,0,2,2,0,0,0,"welfare, schools, medical expenses, jobs, crime, housing, driving no insurance or license,",0.333,1. worried,2761afc6-757f-11e2-ad47-88532e617cea
,,0,1,380,1,1,1,0,0,0,1,"allour ancestors immigrated here.
immigration should be done legally.
we shouldn't subsidize illegal immigrants with government money.",1,0. think,2761cbf0-757f-11e2-ad47-88532e617cea
,,0,0,266,0,0,1,1,0,0,0,loss of jobs,0.16666999,1. worried,2761ecb6-757f-11e2-ad47-88532e617cea
,,0,0,43,0,0,0,0,0,0,1,legal vs. illegal,0.833,0. think,27620714-757f-11e2-ad47-88532e617cea
,,0,0,248,0,0,0,1,2,2,1,"what worries me is that even when people try to immigrate into us legally, they are out through very disrespectful process that often violates fundamental human rights.  i think if the legal process was easier, or there would be options for legal work inthe us for foreigners, less people would try to come here illegally.",0.333,1. worried,27622348-757f-11e2-ad47-88532e617cea
,,1,1,65,0,0,0,0,0,0,0,they do not pay taxes,0,1. worried,27624ddc-757f-11e2-ad47-88532e617cea
,,0,0,6,0,0,2,2,0,0,0,"-jobs going to lower paid people
-english no longer being spoken in some places
-us becoming over populated
-more people for us to support on welfare",0.16666999,0. think,27626722-757f-11e2-ad47-88532e617cea
,,0,1,386,0,0,0,0,0,0,0,need better border build a wall like china did,0.333,0. think,27628a36-757f-11e2-ad47-88532e617cea
,,0,0,319,0,0,2,2,0,0,0,"loss of jobs, hospitals losing money, illegal hiring, cheap labor,",0.66667002,0. think,2762a642-757f-11e2-ad47-88532e617cea
,,0,1,252,0,0,1,2,0,0,0,"illegal persons,not speaking english,drinking alcohol,illegal driving",0.66667002,1. worried,2762c5c8-757f-11e2-ad47-88532e617cea
,,1,1,331,0,0,1,1,0,0,0,where i live immigration has over populated our city and it is no joke.  we have to many here taking over and getting aid.,0.66667002,1. worried,2762f3ea-757f-11e2-ad47-88532e617cea
,,0,0,50,0,0,0,2,1,1,1,"what really makes me worried is that we are doing nothing to fix the system i agreed that we need to pay attention to our borders but at the same time there is people hard working people that are here illegaly and they are ancious to obtain some king of work permit so they can work legally, they did cross the border ok make them pay a fine of course criminals they must be deported",0,1. worried,27632acc-757f-11e2-ad47-88532e617cea
,,0,0,86,0,0,1,1,0,0,0,"draining our health care system, 
criminals",1,1. worried,27637702-757f-11e2-ad47-88532e617cea
,,1,1,314,0,0,0,1,0,0,0,"the borders should now be sealing, allowing no more immigrates.",1,0. think,2763a4fc-757f-11e2-ad47-88532e617cea
,,1,1,438,0,0,2,2,0,0,0,"take over, over crowding of our nation.  more people not enough welfare or jobs.  health insurance is at an altime low and we can take of our own people who is here so why allow other to come here and take away the aid that could go to the people who is already here.",0,0. think,2763d2d8-757f-11e2-ad47-88532e617cea
,,0,0,181,0,0,0,1,0,0,0,very mess up problem,0,0. think,2764105e-757f-11e2-ad47-88532e617cea
,,1,2,133,0,0,0,0,0,0,0,"that the ileagles who sneack over the border should be fined to the fullest extent.
i worked most of my life for what little i get. i on't think it's right for them to receive everything free.",0.66667002,0. think,27645f6e-757f-11e2-ad47-88532e617cea
,,2,2,59,0,0,0,1,0,0,0,they take the jobs away from us because they take lower pay. they speak a different language and do not try to learn ours. they do not pay taxes. we have to punch in buttons on the phone etc. to speak to someone in our language.,0.833,1. worried,276497f4-757f-11e2-ad47-88532e617cea
,,1,1,442,0,0,1,2,0,0,0,"large numbers of poor people coming to the us and making our communities dirty, unkempt and poor",0,1. worried,2764c062-757f-11e2-ad47-88532e617cea
,,0,0,210,0,0,1,1,0,0,0,i often worry that united states will become over crowded and immigration will place a economical strain on the counyry.,0,1. worried,2764e18c-757f-11e2-ad47-88532e617cea
,,0,1,78,0,0,1,2,0,0,0,"building a wall on our border.
spanish becoming a dominant language in the u.s.
political bungling in dealing with immigration.",0,1. worried,27650284-757f-11e2-ad47-88532e617cea
,,0,2,152,0,0,0,2,2,2,0,"kneejerk american jingoism
lou dobbs and his ilk
mistreatment of immigrants",0.16666999,1. worried,27652444-757f-11e2-ad47-88532e617cea
,,2,2,93,0,0,0,0,0,0,1,"i think if they come in to the country
ileaglely they should be depored . do it the right way or stay the hell home
and if you do get here the correct way learn the damn langwige(sp) and learn our trafic laws.",0.333,0. think,27654438-757f-11e2-ad47-88532e617cea
,,0,0,401,0,0,0,0,0,0,0,people comming over here from another country.,0,0. think,27656cec-757f-11e2-ad47-88532e617cea
,,0,1,244,0,0,1,1,0,1,1,"i think that it is a major issue for us today.  there are too many immigration problems withno taxing from them, taking jobs from the u.s. citizens.  things have to change so that it makes it harder for them to come in illeagally.  they do deserve a chance, but it has to be done the right way.",0,1. worried,2765889e-757f-11e2-ad47-88532e617cea
,,0,0,102,0,0,0,0,0,0,0,"i think of people from other countries coming to america to live.  these days you can't help thinking about the mexicans coming across the border, as well as those that are already here.",0.333,0. think,2765b4ea-757f-11e2-ad47-88532e617cea
,,0,0,8,0,0,1,1,0,0,0,"lack of jobs for americans
terrorist activity",0.333,1. worried,2765d736-757f-11e2-ad47-88532e617cea
,,2,2,378,0,0,2,1,0,0,0,"taking our jobs, not paying taxes, using public services for free",1,1. worried,2765f13a-757f-11e2-ad47-88532e617cea
,,0,0,63,0,0,2,2,0,0,0,"over population
too many new citizens on welfare
extra strain on our schools",0.833,1. worried,27660c4c-757f-11e2-ad47-88532e617cea
,,0,0,143,0,0,0,1,0,0,0,"complex, heated, political minefield",0,0. think,27662a6a-757f-11e2-ad47-88532e617cea
,,0,0,7,0,0,1,1,0,0,0,"jobs,my tax dollars going to fund this.",0.66667002,1. worried,276645b8-757f-11e2-ad47-88532e617cea
,,0,1,116,0,0,2,2,0,0,0,"security
jobs
healthcare
following the laws of our country",1,1. worried,27665f4e-757f-11e2-ad47-88532e617cea
,,0,1,209,0,0,0,1,1,2,1,"an attitude amongst many americans fueled by some members of the media who use the term ""immigrant"" almost as a term of abuse and seem totally unable to differentiate between legal & illegal immigration.  i also see an incredible degree of racism - the assumption often being that anyone hispanic must be an illegal immigrant.",0.333,0. think,27667a60-757f-11e2-ad47-88532e617cea
,,0,0,349,0,0,1,2,0,0,0,"mexico, muslems, problembs, terrorist,
cheep labor,",0,0. think,2766a13e-757f-11e2-ad47-88532e617cea
,,0,0,463,2,2,0,0,0,0,0,"people from all over the world coming here for a new life--opportunity, freedom, justice. a way of life/history for the u.s.; our country has always been a giant melting pot and still is.",0,0. think,2766bb2e-757f-11e2-ad47-88532e617cea
,,1,1,200,0,0,2,2,0,0,0,"the cost of living, cost of food, diseases, and jobs that are taken from americans.",0,1. worried,2766eba8-757f-11e2-ad47-88532e617cea
,,1,1,384,0,0,0,0,0,0,0,"they get all our stuff for free, and it isnt right",1,1. worried,276717e0-757f-11e2-ad47-88532e617cea
,,0,0,232,0,0,2,2,0,0,0,"costs to feed, house, educate, and provide medical care

potential for enemies of the us to enter",1,1. worried,276744f4-757f-11e2-ad47-88532e617cea
,,0,0,336,1,1,0,0,0,0,1,i think of new beginnings becoming a citizen adapting to a new country learning to be a citizen of that country....entering legally so you can do this,0.333,0. think,2767c8e8-757f-11e2-ad47-88532e617cea
,,0,0,25,0,0,2,2,0,0,0,illegal immigrants; increased crime; schools & hospitals overwhelmed taking care of illegal immigrants,0.833,0. think,27681c8a-757f-11e2-ad47-88532e617cea
,,1,1,464,0,0,0,1,0,0,0,law breakers.,0.66667002,0. think,27683800-757f-11e2-ad47-88532e617cea
,,0,0,179,0,1,0,1,1,1,0,we need to find a reasonable and humane compromise on the issue,0.833,0. think,27685222-757f-11e2-ad47-88532e617cea
,,2,2,83,0,0,0,2,0,0,0,"close borders.
fine employers who employ illegal immigrats (im).
remove children of im from public schools.
no ssa or welfare for ims.
when picked up by police or any other government institution, they should be taken into custody and deported.
if an im is deported and returns to the us, they should be jailed and the family or mexican government made to paid for the cost of upkeep.",0.66667002,0. think,2768865c-757f-11e2-ad47-88532e617cea
,,0,0,176,0,0,1,2,0,0,0,"job availability, visas, welfare system",1,0. think,2768b1d6-757f-11e2-ad47-88532e617cea
,,0,2,96,0,0,0,1,2,2,0,"racism, bigotry, intolerance",0,0. think,2768cdce-757f-11e2-ad47-88532e617cea
,,0,0,412,1,1,0,0,0,0,0,i didn't have to worrty about immingration when all our relation came over to these lands without an invitation  !,0,1. worried,2768e5a2-757f-11e2-ad47-88532e617cea
,,1,0,47,0,0,1,1,0,1,0,"first i think that it isn't fair for someone who is not a citizen to receive benefits of any kind without paying into the system.  then i think of 12 million people (especially the children) who could not be taken out of our economy without undue suffering on everyone's part.  then i hear about illegal aliens still able to get driver's licenses, start businesses, buy homes, etc. when so many people are waiting all over the world to come here legally.  it is a difficult problem.",0.333,0. think,276905e6-757f-11e2-ad47-88532e617cea
,,0,0,346,0,0,0,1,0,0,0,its one of those things that you can't fix.,0.16666999,0. think,27693912-757f-11e2-ad47-88532e617cea
,,0,0,410,0,0,2,2,0,0,0,"over population
crime
job shortage
welfare increase",1,1. worried,276956cc-757f-11e2-ad47-88532e617cea
,,0,0,337,0,0,0,0,0,0,0,illegal aliens,0.16666999,0. think,27696f54-757f-11e2-ad47-88532e617cea
,,0,1,219,0,0,0,0,0,0,0,we need to crack down on illegal immigration in this country,0.333,0. think,27698836-757f-11e2-ad47-88532e617cea
,,0,0,339,0,0,0,1,1,2,0,i actually worry about the conditions in those countries the people are leaving.,0.16666999,1. worried,2769a3d4-757f-11e2-ad47-88532e617cea
